window_index,udp_pkt_count,udp_pkt_rate,avg_pkt_len,std_pkt_len,unique_src_ips,unique_dst_ports,entropy_src_ip,burst_100ms_max,pps_change,is_udp_flood,score_udp,severity_udp,rank_by_score
5443,6,6.0,166.0,1.0,1,1,0.0,6,-4.0,False,0.0,Normal,57
5444,1,1.0,342.0,0.0,1,1,0.0,1,-5.0,False,0.0,Normal,57
5459,2,2.0,342.0,0.0,1,1,0.0,1,1.0,False,0.0,Normal,57
5462,1,1.0,342.0,0.0,1,1,0.0,1,-1.0,False,0.0,Normal,57
5464,16,16.0,140.25,66.9342027665976,3,2,1.4056390622295665,16,15.0,False,0.0,Normal,57
5468,1,1.0,342.0,0.0,1,1,0.0,1,-15.0,False,0.0,Normal,57
5482,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
5486,24,24.0,154.75,81.42391642918355,2,7,1.0,6,23.0,False,0.0,Normal,57
5490,1,1.0,342.0,0.0,1,1,0.0,1,-23.0,False,0.0,Normal,57
5502,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
5525,4,4.0,112.5,27.5,2,2,1.0,4,3.0,False,0.0,Normal,57
5526,8,8.0,120.5,33.5,3,2,1.5,8,4.0,False,0.0,Normal,57
5532,2,2.0,69.0,0.0,1,1,0.0,2,-6.0,False,0.0,Normal,57
5533,110,110.0,94.34545454545454,20.115320422565464,3,20,1.4609613439460671,56,108.0,True,275.0,Critical,39
5534,52,52.0,101.65384615384616,24.081499933626528,3,13,1.1956217818146277,30,-58.0,False,0.0,Normal,57
5535,76,76.0,91.39473684210526,18.87847489614646,3,16,1.3712437847710617,48,24.0,True,190.0,High,50
5541,20,20.0,154.1,56.09714787758822,3,2,1.3609640474436813,10,-56.0,False,0.0,Normal,57
5593,12,12.0,97.0,10.770329614269007,2,4,1.0,6,-8.0,False,0.0,Normal,57
5609,4,4.0,109.0,35.0,2,2,1.0,4,-8.0,False,0.0,Normal,57
5622,20,20.0,121.9,48.02384824230561,2,6,1.0,6,16.0,False,0.0,Normal,57
5694,12,12.0,150.66666666666666,63.83746722906715,3,2,1.4591479170272448,10,-8.0,False,0.0,Normal,57
5735,60,60.0,105.23333333333333,33.773444531992226,3,12,1.2555367253996506,58,48.0,True,150.0,High,55
5736,62,62.0,117.41935483870968,46.25091050092325,3,15,1.472513749357935,30,2.0,False,0.0,Normal,57
5737,58,58.0,103.89655172413794,27.990570860111283,2,16,0.9991421039919088,32,-4.0,False,0.0,Normal,57
5738,166,166.0,104.46987951807229,35.07147172419696,3,39,1.0782173020590051,42,108.0,True,415.0,Critical,14
5739,130,130.0,100.3076923076923,30.306598965050537,3,30,1.3844579647165822,58,-36.0,True,325.0,Critical,29
5740,24,24.0,112.25,31.44605168644653,3,6,1.3250112108241772,8,-106.0,False,0.0,Normal,57
5741,8,8.0,108.5,32.13642792844283,2,3,1.0,8,-16.0,False,0.0,Normal,57
5742,2,2.0,85.0,0.0,1,1,0.0,2,-6.0,False,0.0,Normal,57
5743,14,14.0,111.28571428571429,32.818610946988535,3,4,1.4488156357251847,8,12.0,False,0.0,Normal,57
5744,12,12.0,103.33333333333333,27.62647683332463,3,3,1.4591479170272448,10,-2.0,False,0.0,Normal,57
5748,8,8.0,102.0,22.282279955157193,2,3,1.0,6,-4.0,False,0.0,Normal,57
5758,4,4.0,92.0,8.0,2,2,1.0,4,-4.0,False,0.0,Normal,57
5788,4,4.0,92.0,8.0,2,2,1.0,4,0.0,False,0.0,Normal,57
5795,32,32.0,149.4375,74.12992711280647,3,7,1.4056390622295665,10,28.0,False,0.0,Normal,57
5804,1,1.0,342.0,0.0,1,1,0.0,1,-31.0,False,0.0,Normal,57
5806,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
5811,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
5819,4,4.0,109.0,35.0,2,2,1.0,4,3.0,False,0.0,Normal,57
5823,1,1.0,342.0,0.0,1,1,0.0,1,-3.0,False,0.0,Normal,57
5831,161,161.0,106.52173913043478,52.25856486686532,3,41,1.0478073287361187,54,160.0,True,402.5,Critical,17
5832,58,58.0,111.0,28.219582342518944,2,16,0.9991421039919088,32,-103.0,False,0.0,Normal,57
5833,70,70.0,103.34285714285714,26.665057774594246,2,19,0.9994110647387552,46,12.0,True,175.0,High,52
5834,76,76.0,110.28947368421052,69.15273252383064,2,20,1.0,50,6.0,True,190.0,High,50
5838,16,16.0,71.0,12.12435565298214,1,2,0.0,10,-60.0,False,0.0,Normal,57
5839,16,16.0,99.25,27.652983564165368,3,4,1.5,6,0.0,False,0.0,Normal,57
5843,4,4.0,85.0,0.0,1,1,0.0,4,-12.0,False,0.0,Normal,57
5844,9,9.0,149.55555555555554,71.5217311360076,3,5,1.224394445405986,8,5.0,False,0.0,Normal,57
5849,9,9.0,132.66666666666666,82.11915462031715,3,4,1.3921472236645345,8,0.0,False,0.0,Normal,57
5852,1,1.0,342.0,0.0,1,1,0.0,1,-8.0,False,0.0,Normal,57
5855,16,16.0,98.0,11.789826122551595,3,4,1.4056390622295665,10,15.0,False,0.0,Normal,57
5858,4,4.0,92.0,8.0,2,2,1.0,4,-12.0,False,0.0,Normal,57
5860,1,1.0,342.0,0.0,1,1,0.0,1,-3.0,False,0.0,Normal,57
5863,6,6.0,109.0,43.289721643826724,2,2,0.9182958340544896,6,5.0,False,0.0,Normal,57
5864,2,2.0,99.0,0.0,1,1,0.0,2,-4.0,False,0.0,Normal,57
5875,1,1.0,342.0,0.0,1,1,0.0,1,-1.0,False,0.0,Normal,57
5879,8,8.0,95.0,8.0,3,2,1.5,8,7.0,False,0.0,Normal,57
5884,1,1.0,342.0,0.0,1,1,0.0,1,-7.0,False,0.0,Normal,57
5885,8,8.0,203.0,128.0,2,3,1.0,6,7.0,False,0.0,Normal,57
5893,8,8.0,106.5,37.73923687622737,2,3,1.0,8,0.0,False,0.0,Normal,57
5894,1,1.0,342.0,0.0,1,1,0.0,1,-7.0,False,0.0,Normal,57
5896,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
5905,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
5917,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
5933,4,4.0,90.0,0.0,2,2,1.0,2,3.0,False,0.0,Normal,57
5936,1,1.0,342.0,0.0,1,1,0.0,1,-3.0,False,0.0,Normal,57
5938,232,232.0,111.33620689655173,47.45940987425324,3,41,1.4467855508270953,74,231.0,True,580.0,Critical,4
5939,37,37.0,108.5945945945946,44.8586123940178,4,7,1.5562745047925226,18,-195.0,False,0.0,Normal,57
5940,174,174.0,103.19540229885058,48.30407495255512,3,30,1.4781696766555887,48,137.0,True,435.0,Critical,12
5941,12,12.0,103.33333333333333,27.62647683332463,3,3,1.4591479170272448,10,-162.0,False,0.0,Normal,57
5942,1,1.0,342.0,0.0,1,1,0.0,1,-11.0,False,0.0,Normal,57
5946,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
5952,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
